run,model,optimizer,lr,test_loss,test_acc,test_precision_macro,test_recall_macro,val_best_acc
Model1_sgd_lr0.1,Model1,sgd,0.1,1.180616761232751,0.7265395894428153,0.7287499965999105,0.6742790936463965,0.7424798239178283
Model1_sgd_momentum_lr0.1,Model1,sgd_momentum,0.1,1.2241099551975552,0.6810850439882697,0.5455908083616426,0.5748637332242355,0.6793837123991195
Model1_adam_lr0.1,Model1,adam,0.1,1.4246273236540405,0.4802052785923754,0.09604105571847507,0.2,0.47909024211298606
Model1_sgd_lr0.01,Model1,sgd,0.01,1.2655944432680908,0.6642228739002932,0.5245609569737008,0.5464433756965585,0.6551724137931034
Model1_sgd_momentum_lr0.01,Model1,sgd_momentum,0.01,1.180256452029052,0.7221407624633431,0.7237113220060787,0.679973066462518,0.7446808510638298
Model1_adam_lr0.01,Model1,adam,0.01,1.2378654619815412,0.6642228739002932,0.6206304536518698,0.5588992463333248,0.6632428466617755
Model1_sgd_lr0.001,Model1,sgd,0.001,1.3828022112944258,0.5711143695014663,0.2869145366397833,0.391586528820827,0.57006603081438
Model1_sgd_momentum_lr0.001,Model1,sgd_momentum,0.001,1.2655911543502136,0.6612903225806451,0.5218004833512353,0.5436296737881102,0.6544387380777696
Model1_adam_lr0.001,Model1,adam,0.001,1.1600902671338527,0.7426686217008798,0.7435019239277475,0.69925170630528,0.7578870139398386
Model2_NormalCNN_sgd_lr0.1,Model2_NormalCNN,sgd,0.1,1.2956073221223445,0.6019061583577713,0.4344007051309978,0.43590999692184706,0.615553925165077
Model2_NormalCNN_sgd_momentum_lr0.1,Model2_NormalCNN,sgd_momentum,0.1,1.3139905118522757,0.5872434017595308,0.3132367719859822,0.41419432705166803,0.5935436537050623
Model2_NormalCNN_adam_lr0.1,Model2_NormalCNN,adam,0.1,1.4246273236540405,0.4802052785923754,0.09604105571847507,0.2,0.47909024211298606
Model2_NormalCNN_sgd_lr0.01,Model2_NormalCNN,sgd,0.01,1.4098014684716278,0.48607038123167157,0.24227642276422764,0.21311475409836067,0.4871606749816581
Model2_NormalCNN_sgd_momentum_lr0.01,Model2_NormalCNN,sgd_momentum,0.01,1.3040683164624525,0.593108504398827,0.5197485842855698,0.4136444557836663,0.6023477622890683
Model2_NormalCNN_adam_lr0.01,Model2_NormalCNN,adam,0.01,1.4246273236540405,0.4802052785923754,0.09604105571847507,0.2,0.47909024211298606
Model2_NormalCNN_sgd_lr0.001,Model2_NormalCNN,sgd,0.001,1.600834125647447,0.4838709677419355,0.16377563627378305,0.20854700854700856,0.4805575935436537
Model2_NormalCNN_sgd_momentum_lr0.001,Model2_NormalCNN,sgd_momentum,0.001,1.4102580949358228,0.48167155425219943,0.29618208516886935,0.20327868852459016,0.4842259721203228
Model2_NormalCNN_adam_lr0.001,Model2_NormalCNN,adam,0.001,1.2344864767667485,0.6612903225806451,0.5188903456674017,0.5571856432165251,0.6661775495231108
